Epiweek,Mean,Standard Deviation
1,1.2162232105263158,1.1454406693373322
2,1.2652705263157893,0.9672029925678187
3,1.2612257894736845,0.8671107956948682
4,1.3618394210526314,0.8643233006767606
5,1.4952343684210527,0.7212924497436392
6,1.539297894736842,0.5659622386843671
7,1.6326615789473684,0.5045032943428319
8,1.8912378947368422,0.5450787786287019
9,1.8389015263157895,0.6037073515762391
10,2.017921631578947,0.8982153941294231
11,2.447004368421053,1.328147717708
12,2.9882910000000003,1.6127036404880044
13,3.4144373684210523,1.8855698454532384
14,2.8422979999999995,1.4364410802417202
15,2.493383,1.3492581434147433
16,2.7236815000000005,1.553395919520439
17,3.0425364999999998,1.685957586495802
18,3.2578154999999995,1.7591287403782447
19,3.4625595,1.9062015520491924
20,3.3355575,1.6152359555646196
21,3.0789565000000003,1.4274347582718974
22,2.5827608,1.0910386095506246
23,2.44888285,0.9737337877162974
24,2.0733602999999996,0.8287278952716688
25,1.86905815,0.9205485685341798
26,1.6001964999999998,0.754006199628657
27,1.2822254499999999,0.5851041981806724
28,1.1295503,0.4878264241233863
29,1.01732545,0.42804946416290196
30,0.9597536999999999,0.35893418471177974
31,0.9456576,0.4182482351465933
32,0.91163065,0.38364868381440786
33,0.8276089000000001,0.34232392205919526
34,0.8013226666666666,0.2244362022080118
