Epiweek,Mean,Standard Deviation
1,0.9851325789473686,1.4966848234569459
2,1.3696441578947371,1.913885736777635
3,1.2803161578947369,1.7448321811223373
4,1.396184105263158,1.5838029777833345
5,1.4246454210526316,1.0757135027559157
6,1.3256465789473684,0.8334543196464949
7,1.2702496842105262,0.7686276080021184
8,1.6028095789473684,1.2507195518918115
9,1.6370086315789474,1.789545314346142
10,1.5991608421052632,1.4763009442684876
11,1.8218143684210524,1.4609793107369418
12,1.9796769473684206,1.1619428774062441
13,2.5954523684210526,1.2152084050270298
14,2.5637120499999995,1.3886508497750063
15,2.4690350000000003,1.4575594236068043
16,2.5826128499999994,1.3474920319461365
17,2.836204,1.6614430564584513
18,2.653581,1.5742358925234172
19,2.7214929999999997,1.3028574597479956
20,2.9133241,1.839309182637707
21,2.6726591500000003,1.5329745565448005
22,2.3213519500000004,1.3640028753852564
23,2.20361065,1.1446348160910655
24,2.2381023000000004,1.3104807567438792
25,2.03626205,1.133609814133394
26,1.9043481999999998,1.6193943035545915
27,1.3215659,0.8173511129056411
28,0.9534290000000001,0.5537237325439466
29,1.0701067,0.7330095358331364
30,1.03255265,0.9326997477184861
31,0.98657985,0.8275270446366255
32,0.9786828999999999,0.8858881875450705
33,0.6566103999999999,0.515011946007799
34,1.3376283333333332,1.3141686050463828
