Epiweek,Mean,Standard Deviation
1,1.4232402631578946,0.5747147129417977
2,1.5373821052631578,0.6442395105800404
3,1.787983894736842,1.132692781949043
4,1.9764644210526316,1.5584195653120847
5,1.9244191578947367,1.5615228379715294
6,1.9436584736842104,1.225201489445216
7,1.8750892105263162,0.8867549391265459
8,2.0875227894736845,0.7882892327693315
9,2.1713747368421052,0.6042709685961163
10,2.301766315789474,0.5993206018503086
11,2.411858947368421,0.8667747599723977
12,3.007955210526316,1.3953467990085582
13,3.3790026315789476,1.6223706810838403
14,3.1266125000000002,1.283083758535954
15,2.8290964999999995,1.3456905218373019
16,3.1449005000000003,1.4973062986058499
17,3.3219155000000002,1.8539746694560717
18,3.6266105000000004,1.9946061211990578
19,3.6075375000000007,2.075665681856967
20,3.4394135000000006,2.0213772450195315
21,3.15614785,1.4880557039754352
22,2.7241042500000003,1.1367883637767355
23,2.41969205,1.1385241535939619
24,2.484578,0.9808006347296071
25,2.2489252000000004,0.9235763953207986
26,2.1488841,0.8812472917528825
27,1.9236625500000002,0.8628269307938571
28,1.7585884,0.802424157182559
29,1.4792958500000002,0.7002945825528908
30,1.3947493,0.600476855869325
31,1.3562098500000004,0.7567288198924549
32,1.3103078,0.607121125050809
33,1.30857895,0.725619624535643
34,2.7749433333333333,1.8582756862269445
