Epiweek,Mean,Standard Deviation
1,1.1330335789473684,1.39790865830965
2,1.3247336315789473,2.146820359475336
3,1.403762105263158,2.35055387400571
4,1.2797735789473683,1.6779585544834035
5,1.2643129473684211,1.426853524206671
6,1.209594052631579,0.9642132663374334
7,1.1611445789473687,0.5637579444757359
8,1.3321727368421052,0.5827954734506908
9,1.4265423157894739,0.984980274454001
10,1.5191863157894736,1.1332031813599077
11,2.101952368421053,2.3380305826016365
12,2.4982085263157896,2.021173525914075
13,3.262067105263158,2.2691217375494097
14,2.9165335999999997,2.042882596914037
15,2.4674124500000003,1.6443251856324064
16,2.6916459500000003,1.726481628414171
17,3.05852245,1.8045040481021504
18,3.4548429999999994,1.7990832590102661
19,3.4228761500000005,1.8715934047649418
20,3.259677,1.7835801933781952
21,2.9915511500000003,1.5712455605913824
22,2.6586186499999998,1.3202911725530955
23,2.3374825,1.1837368927875611
24,2.0004597,1.0652870459274861
25,1.6856451,0.8973498453477828
26,1.3932654500000001,0.6998568246781962
27,1.1328311,0.4800045205635985
28,0.9158675000000001,0.3805392115818684
29,0.7736935,0.27052197826858726
30,0.7504373649999999,0.2831741459295168
31,0.6746443,0.20418623101230404
32,0.67862975,0.23012836186156524
33,0.6218874999999999,0.2550185175569609
34,0.694962,0.07329366619292556
